filename,true_label,generator,fake_score,predicted_label,correct,runtime_sec
img_001_real.png,REAL,REAL,1.0,FAKE,False,0.1402
img_002_real.png,REAL,REAL,1.0,FAKE,False,0.148
img_003_real.png,REAL,REAL,1.0,FAKE,False,0.1385
img_004_real.png,REAL,REAL,1.0,FAKE,False,0.1413
img_005_real.png,REAL,REAL,1.0,FAKE,False,0.1513
img_006_real.png,REAL,REAL,1.0,FAKE,False,0.156
img_007_real.png,REAL,REAL,1.0,FAKE,False,0.1315
img_008_real.png,REAL,REAL,1.0,FAKE,False,0.1336
img_009_real.png,REAL,REAL,1.0,FAKE,False,0.1494
img_010_real.png,REAL,REAL,1.0,FAKE,False,0.1413
img_011_real.png,REAL,REAL,0.0,REAL,True,0.1386
img_012_real.png,REAL,REAL,1.0,FAKE,False,0.1376
img_013_real.png,REAL,REAL,1.0,FAKE,False,0.1359
img_014_real.png,REAL,REAL,1.0,FAKE,False,0.1439
img_015_real.png,REAL,REAL,1.0,FAKE,False,0.1466
img_016_real.png,REAL,REAL,1.0,FAKE,False,0.1522
img_017_real.png,REAL,REAL,1.0,FAKE,False,0.1367
img_018_real.png,REAL,REAL,1.0,FAKE,False,0.1401
img_019_real.png,REAL,REAL,1.0,FAKE,False,0.1358
img_020_real.png,REAL,REAL,0.9986,FAKE,False,0.1427
img_001_fakeA.png,FAKE,A,1.0,FAKE,True,0.1513
img_002_fakeA.png,FAKE,A,0.3397,REAL,False,0.1374
img_003_fakeA.png,FAKE,A,0.2348,REAL,False,0.1416
img_004_fakeA.png,FAKE,A,0.235,REAL,False,0.1346
img_005_fakeA.png,FAKE,A,0.2068,REAL,False,0.1401
img_006_fakeA.png,FAKE,A,1.0,FAKE,True,0.1365
img_007_fakeA.png,FAKE,A,0.3534,REAL,False,0.1391
img_008_fakeA.png,FAKE,A,0.0299,REAL,False,0.1356
img_009_fakeA.png,FAKE,A,1.0,FAKE,True,0.1286
img_010_fakeA.png,FAKE,A,0.4546,REAL,False,0.1307
img_011_fakeA.png,FAKE,A,0.9997,FAKE,True,0.1377
img_012_fakeA.png,FAKE,A,1.0,FAKE,True,0.1426
img_013_fakeA.png,FAKE,A,0.2011,REAL,False,0.1385
img_014_fakeA.png,FAKE,A,1.0,FAKE,True,0.1444
img_015_fakeA.png,FAKE,A,0.9862,FAKE,True,0.1347
img_016_fakeA.png,FAKE,A,1.0,FAKE,True,0.129
img_017_fakeA.png,FAKE,A,0.9283,FAKE,True,0.1335
img_018_fakeA.png,FAKE,A,1.0,FAKE,True,0.1362
img_019_fakeA.png,FAKE,A,1.0,FAKE,True,0.1412
img_020_fakeA.png,FAKE,A,1.0,FAKE,True,0.1331
img_001_fakeB.png,FAKE,B,0.9041,FAKE,True,0.1377
img_002_fakeB.png,FAKE,B,1.0,FAKE,True,0.1386
img_003_fakeB.png,FAKE,B,0.1592,REAL,False,0.1285
img_004_fakeB.png,FAKE,B,0.9998,FAKE,True,0.1349
img_005_fakeB.png,FAKE,B,0.4619,REAL,False,0.1316
img_006_fakeB.png,FAKE,B,1.0,FAKE,True,0.1442
img_007_fakeB.png,FAKE,B,1.0,FAKE,True,0.1395
img_008_fakeB.png,FAKE,B,1.0,FAKE,True,0.1455
img_009_fakeB.png,FAKE,B,1.0,FAKE,True,0.1393
img_010_fakeB.png,FAKE,B,0.4945,REAL,False,0.1367
img_011_fakeB.png,FAKE,B,1.0,FAKE,True,0.1421
img_012_fakeB.png,FAKE,B,1.0,FAKE,True,0.1375
img_013_fakeB.png,FAKE,B,0.2954,REAL,False,0.1301
img_014_fakeB.png,FAKE,B,1.0,FAKE,True,0.1359
img_015_fakeB.png,FAKE,B,1.0,FAKE,True,0.1353
img_016_fakeB.png,FAKE,B,0.9999,FAKE,True,0.1483
img_017_fakeB.png,FAKE,B,0.9992,FAKE,True,0.1343
img_018_fakeB.png,FAKE,B,1.0,FAKE,True,0.1372
img_019_fakeB.png,FAKE,B,0.9992,FAKE,True,0.1311
img_020_fakeB.png,FAKE,B,1.0,FAKE,True,0.1335
