detector,condition,filename,true_label,generator,fake_score,predicted_label,correct
M3_SBI_EfficientNetB4,jpeg_q90,img_001_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_002_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_003_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_004_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_005_real.png,REAL,REAL,0.9046,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_006_real.png,REAL,REAL,0.6911,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_007_real.png,REAL,REAL,0.8488,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_008_real.png,REAL,REAL,0.9998,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_009_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_010_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_011_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_012_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_013_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_014_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_015_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_016_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_017_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_018_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_019_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_020_real.png,REAL,REAL,0.7622,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q90,img_001_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_002_fakeA.png,FAKE,A,0.2013,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_003_fakeA.png,FAKE,A,0.2036,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_004_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_005_fakeA.png,FAKE,A,0.2956,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_006_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_007_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_008_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_009_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_010_fakeA.png,FAKE,A,0.0441,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_011_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_012_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_013_fakeA.png,FAKE,A,0.3457,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_014_fakeA.png,FAKE,A,0.0,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_015_fakeA.png,FAKE,A,0.9886,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_016_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_017_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_018_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_019_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_020_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_001_fakeB.png,FAKE,B,0.3269,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_002_fakeB.png,FAKE,B,0.0,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_003_fakeB.png,FAKE,B,0.2336,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_004_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_005_fakeB.png,FAKE,B,0.4621,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_006_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_007_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_008_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_009_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_010_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_011_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_012_fakeB.png,FAKE,B,0.7828,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_013_fakeB.png,FAKE,B,0.3535,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_014_fakeB.png,FAKE,B,0.0,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_015_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_016_fakeB.png,FAKE,B,0.9853,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_017_fakeB.png,FAKE,B,0.0,REAL,False
M3_SBI_EfficientNetB4,jpeg_q90,img_018_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_019_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q90,img_020_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_001_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_002_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_003_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_004_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_005_real.png,REAL,REAL,0.942,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_006_real.png,REAL,REAL,0.9738,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_007_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_008_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_009_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_010_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_011_real.png,REAL,REAL,0.0,REAL,True
M3_SBI_EfficientNetB4,jpeg_q50,img_012_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_013_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_014_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_015_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_016_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_017_real.png,REAL,REAL,0.8881,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_018_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_019_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_020_real.png,REAL,REAL,1.0,FAKE,False
M3_SBI_EfficientNetB4,jpeg_q50,img_001_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_002_fakeA.png,FAKE,A,0.4158,REAL,False
M3_SBI_EfficientNetB4,jpeg_q50,img_003_fakeA.png,FAKE,A,0.2333,REAL,False
M3_SBI_EfficientNetB4,jpeg_q50,img_004_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_005_fakeA.png,FAKE,A,0.1523,REAL,False
M3_SBI_EfficientNetB4,jpeg_q50,img_006_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_007_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_008_fakeA.png,FAKE,A,0.9994,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_009_fakeA.png,FAKE,A,0.9889,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_010_fakeA.png,FAKE,A,0.6875,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_011_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_012_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_013_fakeA.png,FAKE,A,0.1876,REAL,False
M3_SBI_EfficientNetB4,jpeg_q50,img_014_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_015_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_016_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_017_fakeA.png,FAKE,A,0.9964,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_018_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_019_fakeA.png,FAKE,A,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_020_fakeA.png,FAKE,A,0.9998,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_001_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_002_fakeB.png,FAKE,B,1.0,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_003_fakeB.png,FAKE,B,0.2983,REAL,False
M3_SBI_EfficientNetB4,jpeg_q50,img_004_fakeB.png,FAKE,B,0.9995,FAKE,True
M3_SBI_EfficientNetB4,jpeg_q50,img_005_fakeB.png,FAKE,B,0.1145,REAL,False
M3_SBI_EfficientNetB4,jpeg_q50,img_006_fakeB.png,FAKE,B,1.0,FAKE,True
