filename,true_label,generator,fake_score,predicted_label,correct,runtime_sec
img_001_real.png,REAL,REAL,0.0331,REAL,True,0.0225
img_002_real.png,REAL,REAL,0.0093,REAL,True,0.0219
img_003_real.png,REAL,REAL,0.1041,REAL,True,0.0219
img_004_real.png,REAL,REAL,0.002,REAL,True,0.0207
img_005_real.png,REAL,REAL,0.9265,FAKE,False,0.0216
img_006_real.png,REAL,REAL,0.9018,FAKE,False,0.0192
img_007_real.png,REAL,REAL,0.9804,FAKE,False,0.0175
img_008_real.png,REAL,REAL,0.9934,FAKE,False,0.0186
img_009_real.png,REAL,REAL,0.9811,FAKE,False,0.0145
img_010_real.png,REAL,REAL,0.1826,REAL,True,0.0147
img_011_real.png,REAL,REAL,0.0301,REAL,True,0.0148
img_012_real.png,REAL,REAL,0.0123,REAL,True,0.0152
img_013_real.png,REAL,REAL,0.604,FAKE,False,0.0154
img_014_real.png,REAL,REAL,0.9483,FAKE,False,0.0124
img_015_real.png,REAL,REAL,0.0331,REAL,True,0.0165
img_016_real.png,REAL,REAL,0.0093,REAL,True,0.0154
img_017_real.png,REAL,REAL,0.9668,FAKE,False,0.0146
img_018_real.png,REAL,REAL,0.1041,REAL,True,0.0166
img_019_real.png,REAL,REAL,0.002,REAL,True,0.0176
img_020_real.png,REAL,REAL,0.2877,REAL,True,0.0177
img_001_fakeA.png,FAKE,A,0.4026,REAL,False,0.0164
img_002_fakeA.png,FAKE,A,0.9996,FAKE,True,0.0165
img_003_fakeA.png,FAKE,A,0.998,FAKE,True,0.0177
img_004_fakeA.png,FAKE,A,0.0401,REAL,False,0.0163
img_005_fakeA.png,FAKE,A,1.0,FAKE,True,0.0173
img_006_fakeA.png,FAKE,A,0.9992,FAKE,True,0.017
img_007_fakeA.png,FAKE,A,0.9802,FAKE,True,0.0167
img_008_fakeA.png,FAKE,A,0.9967,FAKE,True,0.0175
img_009_fakeA.png,FAKE,A,0.9937,FAKE,True,0.015
img_010_fakeA.png,FAKE,A,0.9999,FAKE,True,0.0152
img_011_fakeA.png,FAKE,A,0.1152,REAL,False,0.0181
img_012_fakeA.png,FAKE,A,0.4661,REAL,False,0.018
img_013_fakeA.png,FAKE,A,0.9876,FAKE,True,0.0192
img_014_fakeA.png,FAKE,A,0.015,REAL,False,0.0151
img_015_fakeA.png,FAKE,A,0.9718,FAKE,True,0.0158
img_016_fakeA.png,FAKE,A,0.2278,REAL,False,0.0177
img_017_fakeA.png,FAKE,A,0.9997,FAKE,True,0.0167
img_018_fakeA.png,FAKE,A,0.9311,FAKE,True,0.0166
img_019_fakeA.png,FAKE,A,0.0471,REAL,False,0.0156
img_020_fakeA.png,FAKE,A,0.9997,FAKE,True,0.0161
img_001_fakeB.png,FAKE,B,0.6984,FAKE,True,0.0154
img_002_fakeB.png,FAKE,B,1.0,FAKE,True,0.018
img_003_fakeB.png,FAKE,B,0.9979,FAKE,True,0.0146
img_004_fakeB.png,FAKE,B,0.0764,REAL,False,0.0164
img_005_fakeB.png,FAKE,B,0.9998,FAKE,True,0.0163
img_006_fakeB.png,FAKE,B,0.9997,FAKE,True,0.0147
img_007_fakeB.png,FAKE,B,0.9995,FAKE,True,0.0174
img_008_fakeB.png,FAKE,B,0.9969,FAKE,True,0.0158
img_009_fakeB.png,FAKE,B,0.9954,FAKE,True,0.0185
img_010_fakeB.png,FAKE,B,0.9989,FAKE,True,0.0158
img_011_fakeB.png,FAKE,B,0.1706,REAL,False,0.0195
img_012_fakeB.png,FAKE,B,0.1521,REAL,False,0.0147
img_013_fakeB.png,FAKE,B,0.9972,FAKE,True,0.0164
img_014_fakeB.png,FAKE,B,0.0265,REAL,False,0.0159
img_015_fakeB.png,FAKE,B,0.9495,FAKE,True,0.0127
img_016_fakeB.png,FAKE,B,0.016,REAL,False,0.0165
img_017_fakeB.png,FAKE,B,0.9993,FAKE,True,0.0148
img_018_fakeB.png,FAKE,B,0.9239,FAKE,True,0.0164
img_019_fakeB.png,FAKE,B,0.1329,REAL,False,0.0156
img_020_fakeB.png,FAKE,B,0.9992,FAKE,True,0.0162
